alias_id,organization_identity_hint,canonical_display_override,notes
org_alias_v0_004,ватага,??????,confirmed_by_human_2026-06-19
org_alias_v0_015,национальная инжиниринговая компания,??-??????????,confirmed_by_human_2026-06-19
org_alias_v0_022,региональная строительная производственная компания,????,confirmed_by_human_2026-06-19
org_alias_v0_031,специализированный застройщик «русстройгруп,?????????????,confirmed_by_human_2026-06-19
org_alias_v0_040,сфера,?????,confirmed_by_human_2026-06-19
org_alias_v0_001,ñï ñò òрîéèíâå åñò ãрóï ï,?? ??????????? ?????,confirmed_by_human_2026-06-19_round2
org_alias_v0_002,ɋɬɪɨɣ ɇɨɧɬɚɠ ɋɉ,??????????? ??,confirmed_by_human_2026-06-19_round2
org_alias_v0_011,люберецкий городской жилищный трест,????,confirmed_by_human_2026-06-19_round2
org_alias_v0_012,межрегиональная ассоциация проектировщиков,??? ?????????????,confirmed_by_human_2026-06-19_round3
org_alias_v0_016,общество с ограниченной ответственностью специализированный застройщик «русстройгруп,?????????????,confirmed_by_human_2026-06-19_round2
org_alias_v0_017,объединение проектировщиков «проект сити,????????????????,confirmed_by_human_2026-06-19_round3
org_alias_v0_020,проектирование дорог и инфраструктуры,????????????????,confirmed_by_human_2026-06-19_round3
org_alias_v0_021,пск «столица,??? ???????,confirmed_by_human_2026-06-19_round2
org_alias_v0_024,руспроектэксперт,????????????????,confirmed_by_human_2026-06-19_round2
org_alias_v0_027,сп ст тройинвест групп,?? ??????????? ?????,confirmed_by_human_2026-06-19_round2
org_alias_v0_030,специализированное управление «лифтреммонт и диспетчеризация,?? ?????,confirmed_by_human_2026-06-19_round2
org_alias_v0_042,тиволион,????????,confirmed_by_human_2026-06-19_round2
